segment_name,PC1,PC2,PC3
Joel OG - Segment 4,-16.023746941908865,0.4429474546150269,12.49983770781249
Joel OG - Segment 5,-10.055893644636933,-1.7226079060286528,5.396590149176609
Joel OG - Segment 6,6.977638548437909,-7.303236918921128,-7.618003271075973
Joel OG - Segment 7,7.5883539641860365,-5.712358189444178,-4.2912186816857965
Joel OG - Segment 8,10.915430503964172,-10.298577163332117,1.8559189803351963
Joel OG - Segment 9,8.390532798521523,-0.2322698849859353,1.7234841659500086
Joel OG - Segment 10,-0.8947181715228445,3.204529907811963,-0.5267738759531226
Joel OG - Segment 11,2.678626406894868,-4.32631630232417,-5.314022000501823
Joel OG - Segment 12,0.010041785164166176,1.1499825812978213,1.2813797126012265
Joel OG - Segment 13,7.062019471916757,-3.779091587303251,1.4200469990586257
Joel OG - Segment 14,-14.36293511044118,3.380243579341926,2.3071445610792085
